,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Tyreek Hill*+\HillTy00,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17,12,0,0,14,,,247,334,340,290.5,131,1,6
2,Antonio Brown*\BrowAn04,PIT,WR,30,15,15,0,1,0,0,0,0,0,,0,168,104,1297,12.47,15,0,0,15,,,220,323.7,326.7,271.7,103,2,9
3,Davante Adams*\AdamDa01,GNB,WR,26,15,15,0,0,0,0,0,0,0,,0,169,111,1386,12.49,13,0,0,13,1,,219,329.6,332.6,274.1,102,3,10
4,DeAndre Hopkins*+\HopkDe00,HOU,WR,26,16,16,0,1,0,0,0,1,-7,-7,0,163,115,1572,13.67,11,2,2,11,,,219,333.5,338.5,276,102,4,11
5,Julio Jones*\JoneJu02,ATL,WR,29,16,16,0,0,0,0,0,2,12,6,0,170,113,1677,14.84,8,2,2,8,,,213,325.9,330.9,269.4,97,5,12
6,Mike Evans*\EvanMi00,TAM,WR,25,16,16,0,0,0,0,0,0,0,,0,138,86,1524,17.72,8,2,1,9,,,198,284.4,294.4,247.4,82,6,16
7,Adam Thielen*\ThieAd00,MIN,WR,28,16,16,0,0,0,0,0,5,30,6,0,153,113,1373,12.15,9,1,1,9,1,,194,307.3,311.3,250.8,78,7,18
8,Michael Thomas*+\ThomMi05,NOR,WR,25,16,16,0,0,0,0,0,0,0,,0,147,125,1405,11.24,9,2,2,9,,,191,315.5,320.5,253,74,8,19
9,JuJu Smith-Schuster*\SmitJu00,PIT,WR,22,16,13,0,0,0,0,0,1,13,13,0,166,111,1426,12.85,7,1,1,7,1,,186,296.9,300.9,241.4,70,9,22
10,Robert Woods\WoodRo02,LAR,WR,26,16,16,0,0,0,0,0,19,157,8.26,1,130,86,1219,14.17,6,0,0,7,,,180,265.6,271.6,222.6,63,10,25
11,Tyler Lockett\LockTy00,SEA,WR,26,16,14,0,0,0,0,0,13,69,5.31,0,70,57,965,16.93,10,2,0,10,1,,165,222.4,225.4,193.9,49,11,32
12,Stefon Diggs\DiggSt00,MIN,WR,25,15,14,0,0,0,0,0,10,62,6.2,0,149,102,1021,10.01,9,0,0,9,1,,164,266.3,269.3,215.3,48,12,33
13,Brandin Cooks\CookBr00,LAR,WR,25,16,16,0,0,0,0,0,10,68,6.8,1,117,80,1204,15.05,5,1,0,6,,,163,243.2,246.2,203.2,47,13,34
14,Keenan Allen*\AlleKe00,LAC,WR,26,16,14,0,0,0,0,0,9,75,8.33,0,136,97,1196,12.33,6,3,1,6,1,,163,260.1,264.1,211.6,47,14,35
15,T.Y. Hilton\HiltT.00,IND,WR,29,14,14,0,0,0,0,0,0,0,,0,120,76,1270,16.71,6,0,0,6,,,163,239,242,201,47,15,36
16,Odell Beckham\BeckOd00,NYG,WR,26,12,12,2,2,106,2,0,5,19,3.8,0,124,77,1052,13.66,6,2,1,6,,,153,230.3,234.3,191.8,37,16,41
17,Tyler Boyd\BoydTy00,CIN,WR,24,14,14,0,1,0,0,0,2,3,1.5,0,108,76,1028,13.53,7,0,0,7,,,145,221.1,224.1,183.1,29,17,44
18,Calvin Ridley\RidlCa00,ATL,WR,24,16,5,0,0,0,0,0,6,27,4.5,0,92,64,821,12.83,10,2,1,10,,,143,206.8,210.8,174.8,26,18,47
19,Amari Cooper*\CoopAm00,2TM,WR,24,15,15,0,0,0,0,0,2,20,10,0,107,75,1005,13.4,7,2,2,7,,,141,215.5,220.5,178,24,19,51
20,Mike Williams\WillMi07,LAC,WR,24,16,5,0,0,0,0,0,7,28,4,1,66,43,664,15.44,10,0,0,11,1,,137,180.2,183.2,158.7,21,20,53
21,Kenny Golladay\GollKe00,DET,WR,25,15,13,0,0,0,0,0,1,8,8,0,119,70,1063,15.19,5,1,0,5,,,137,207.1,210.1,172.1,21,21,54
22,Jarvis Landry*\LandJa00,CLE,WR,26,16,14,1,2,63,0,0,3,60,20,1,149,81,976,12.05,4,1,1,5,,1,136,217.1,221.1,176.6,20,22,55
23,Julian Edelman\EdelJu00,NWE,WR,32,12,12,2,2,43,0,0,9,107,11.89,0,108,74,850,11.49,6,1,0,6,,,133,207.4,213.4,170.4,17,23,57
24,Emmanuel Sanders\SandEm00,DEN,WR,31,12,12,1,1,28,1,0,4,53,13.25,1,98,71,868,12.23,4,1,0,5,,,127,198.2,201.2,162.7,11,24,60
25,Chris Godwin\GodwCh00,TAM,WR,22,16,5,0,0,0,0,0,0,0,,0,95,59,842,14.27,7,4,1,7,1,,126,185.2,189.2,155.7,10,25,63
26,Alshon Jeffery\JeffAl00,PHI,WR,28,13,13,0,0,0,0,0,0,0,,0,92,65,843,12.97,6,1,0,6,,,120,185.3,188.3,152.8,4,26,67
27,Corey Davis\DaviCo03,TEN,WR,23,16,16,0,0,0,0,0,6,55,9.17,0,112,65,891,13.71,4,1,0,4,,,119,183.6,186.6,151.1,2,27,71
28,Larry Fitzgerald\FitzLa00,ARI,WR,35,16,16,1,1,32,1,0,0,0,,0,112,69,734,10.64,6,0,0,6,1,,117,185.7,188.7,151.2,,28,73
29,Sterling Shepard\ShepSt00,NYG,WR,25,16,16,0,0,0,0,0,3,33,11,0,107,66,872,13.21,4,1,0,4,1,,117,182.5,185.5,149.5,,29,74
30,Mohamed Sanu\SanuMo00,ATL,WR,29,16,16,1,2,5,1,0,7,44,6.29,0,94,66,838,12.7,4,2,1,4,1,,116,182.4,186.4,149.4,,30,75
31,Dede Westbrook\WestDe00,JAX,WR,25,16,9,0,1,0,0,0,9,98,10.89,0,101,66,717,10.86,5,3,2,6,,,114,179.5,184.5,146.5,,31,
32,Adam Humphries\HumpAd00,TAM,WR,25,16,10,0,0,0,0,0,2,11,5.5,0,105,76,816,10.74,5,2,0,5,,,113,188.7,191.7,150.7,,32,
33,DeSean Jackson\JackDe00,TAM,WR,32,12,10,0,0,0,0,0,6,29,4.83,1,74,41,774,18.88,4,0,0,5,,,110,151.3,154.3,130.8,,33,
34,Zay Jones\JoneZa00,BUF,WR,23,16,15,0,1,0,0,0,1,0,0,0,102,56,652,11.64,7,1,0,7,1,,109,165.2,168.2,137.2,,34,
35,Golden Tate\TateGo00,2TM,WR,30,15,8,0,0,0,0,0,4,34,8.5,0,113,74,795,10.74,4,3,0,4,1,,109,182.9,185.9,145.9,,35,
36,Robby Anderson\AndeRo04,NYJ,WR,25,14,9,0,0,0,0,0,2,-8,-4,0,94,50,752,15.04,6,2,2,6,,,106,156.4,161.4,131.4,,36,
37,A.J. Green\GreeA.00,CIN,WR,30,9,9,0,0,0,0,0,0,0,,0,77,46,694,15.09,6,2,1,6,,,103,149.4,153.4,126.4,,37,
38,John Brown\BrowJo02,BAL,WR,28,16,15,0,0,0,0,0,3,4,1.33,0,97,42,715,17.02,5,0,0,5,,,102,143.9,146.9,122.9,,39,
39,D.J. Moore\MoorD.00,CAR,WR,21,16,10,0,0,0,0,0,13,172,13.23,0,82,55,788,14.33,2,4,3,2,,,102,157,166,129.5,,38,
40,Nelson Agholor\AghoNe00,PHI,WR,25,16,16,1,1,15,0,0,3,32,10.67,0,97,64,736,11.5,4,1,0,4,,,101,165.4,168.4,133.4,,40,
41,Josh Gordon\GordJo02,2TM,WR,27,12,12,0,0,0,0,0,0,0,,0,71,41,737,17.98,4,0,0,4,,,98,138.7,141.7,118.2,,44,
42,Allen Robinson\RobiAl02,CHI,WR,25,13,12,0,0,0,0,0,1,9,9,0,94,55,754,13.71,4,1,1,4,,,98,153.3,157.3,125.8,,41,
43,Curtis Samuel\SamuCu00,CAR,WR,22,13,8,0,0,0,0,0,8,84,10.5,2,65,39,494,12.67,5,1,1,7,,,98,136.8,140.8,117.3,,42,
44,Demaryius Thomas\ThomDe03,2TM,WR,31,15,15,0,0,0,0,0,0,0,,0,89,59,677,11.47,5,0,0,5,,,98,156.7,159.7,127.2,,43,
45,Kenny Stills\StilKe00,MIA,WR,26,15,15,1,1,3,1,0,0,0,,0,64,37,553,14.95,6,1,0,6,1,,97,134.4,137.4,115.9,,45,
46,Tyrell Williams\WillTy00,LAC,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,65,41,653,15.93,5,2,0,5,,,97,137.8,140.8,117.3,,46,
47,Cooper Kupp\KuppCo00,LAR,WR,25,8,8,0,0,0,0,0,4,25,6.25,0,55,40,566,14.15,6,0,0,6,,,95,135.1,138.1,115.1,,47,
48,Jordy Nelson\NelsJo00,OAK,WR,33,15,14,0,0,0,0,0,1,-2,-2,0,88,63,739,11.73,3,1,0,3,1,,94,156.7,159.7,125.2,,49,
49,Courtland Sutton\SuttCo00,DEN,WR,23,16,9,0,0,0,0,0,1,-1,-1,0,84,42,704,16.76,4,0,0,4,,,94,136.3,139.3,115.3,,48,
50,Doug Baldwin\BaldDo00,SEA,WR,30,13,13,0,0,0,0,0,0,0,,0,73,50,618,12.36,5,0,0,5,,,92,141.8,144.8,116.8,,50,
51,Antonio Callaway\CallAn00,CLE,WR,21,16,11,0,0,0,0,0,2,7,3.5,0,79,43,586,13.63,5,1,1,5,1,,89,132.3,136.3,110.8,,51,
52,Anthony Miller\MillAn02,CHI,WR,24,15,4,1,1,8,0,0,6,26,4.33,0,54,33,423,12.82,7,1,0,7,,,87,120.2,123.2,103.7,,52,
53,Cole Beasley\BeasCo00,DAL,WR,29,16,4,0,1,0,0,0,0,0,,0,87,65,672,10.34,3,0,0,3,,,85,150.2,153.2,117.7,,53,
54,Taylor Gabriel\GabrTa00,CHI,WR,27,16,11,0,0,0,0,0,9,61,6.78,0,93,67,688,10.27,2,1,1,2,,,85,151.9,155.9,118.4,,54,
55,Donte Moncrief\MoncDo00,JAX,WR,25,16,14,0,0,0,0,0,0,0,,0,89,48,668,13.92,3,1,1,3,,,83,130.8,134.8,106.8,,55,
56,Marvin Jones\JoneMa02,DET,WR,28,9,9,0,0,0,0,0,0,0,,0,62,35,508,14.51,5,0,0,5,,,81,115.8,118.8,98.3,,56,
57,Christian Kirk\KirkCh01,ARI,WR,22,12,7,0,0,0,0,0,3,35,11.67,0,68,43,590,13.72,3,0,0,3,,,81,123.5,126.5,102,,57,
58,Michael Crabtree\CrabMi00,BAL,WR,31,16,16,0,0,0,0,0,0,0,,0,100,54,607,11.24,3,0,0,3,,,79,132.7,135.7,105.7,,60,
59,Devin Funchess\FuncDe00,CAR,WR,24,14,12,0,0,0,0,0,0,0,,0,79,44,549,12.48,4,0,0,4,,,79,122.9,125.9,100.9,,59,
60,Rashard Higgins\HiggRa00,CLE,WR,24,13,1,0,0,0,0,0,0,0,,0,53,39,572,14.67,4,2,1,4,,,79,118.2,122.2,98.7,,58,
61,Dante Pettis\PettDa00,SFO,WR,23,12,7,0,0,0,0,0,1,-2,-2,0,45,27,467,17.3,5,2,0,5,,,77,103.5,106.5,90,,61,
62,Cordarrelle Patterson\PattCo00,NWE,WR,27,15,5,0,0,0,0,0,42,228,5.43,1,28,21,247,11.76,3,1,1,5,,,76,96.5,103.5,86,,62,
63,David Moore\MoorDa03,SEA,WR,23,16,7,0,0,0,0,0,1,5,5,0,53,26,445,17.12,5,2,0,5,,,75,101,104,88,,64,
64,Sammy Watkins\WatkSa00,KAN,WR,25,10,9,0,0,0,0,0,5,52,10.4,0,55,40,519,12.98,3,1,0,3,,,75,115.1,118.1,95.1,,63,
65,Will Fuller\FullWi01,HOU,WR,24,7,7,0,0,0,0,0,0,0,,0,45,32,503,15.72,4,0,0,4,,,74,106.3,109.3,90.3,,65,
66,Kendrick Bourne\BourKe00,SFO,WR,23,16,8,0,0,0,0,0,0,0,,0,66,42,487,11.6,4,1,0,4,,,73,114.7,117.7,93.7,,67,
67,Tre'Quan Smith\SmitTr03,NOR,WR,22,15,7,0,0,0,0,0,0,0,,0,44,28,427,15.25,5,0,0,5,,,73,100.7,103.7,86.7,,68,
68,Marquez Valdes-Scantling\ValdMa00,GNB,WR,24,16,10,0,0,0,0,0,2,29,14.5,0,73,38,581,15.29,2,0,0,2,,,73,111,114,92,,66,
69,Robert Foster\FostRo01,BUF,WR,24,13,3,0,0,0,0,0,0,0,,0,44,27,541,20.04,3,0,0,3,,,72,99.1,102.1,85.6,,70,
70,Willie Snead\SneaWi00,BAL,WR,26,16,10,0,0,0,0,0,1,13,13,0,95,62,651,10.5,1,0,0,1,,,72,134.4,137.4,103.4,,69,
71,Chris Hogan\HogaCh00,NWE,WR,31,16,7,0,0,0,0,0,0,0,,0,55,35,532,15.2,3,0,0,3,,,71,106.2,109.2,88.7,,71,
72,Josh Reynolds\ReynJo00,LAR,WR,23,16,8,0,0,0,0,0,2,8,4,0,53,29,402,13.86,5,0,0,5,,,71,100,103,85.5,,72,
73,Albert Wilson\WilsAl02,MIA,WR,26,7,3,1,1,52,1,0,8,16,2,0,35,26,391,15.04,4,0,0,4,,,71,96.8,99.8,83.8,,73,
74,Danny Amendola\AmenDa00,MIA,WR,33,15,15,1,1,28,1,0,1,-2,-2,0,79,59,575,9.75,1,2,0,1,,,68,127.4,130.4,97.9,,74,
75,Josh Doctson\DoctJo00,WAS,WR,26,15,12,0,0,0,0,0,0,0,,0,78,44,532,12.09,2,0,0,2,,,65,109.2,112.2,87.2,,75,
76,Michael Gallup\GallMi00,DAL,WR,22,16,8,0,0,0,0,0,0,0,,0,68,33,507,15.36,2,0,0,2,1,,65,97.7,100.7,81.2,,76,
77,Marquise Goodwin\GoodMa00,SFO,WR,28,11,8,0,0,0,0,0,4,9,2.25,0,43,23,395,17.17,4,1,0,4,,,64,87.4,90.4,75.9,,77,
78,Chester Rogers\RogeCh02,IND,WR,24,16,10,0,0,0,0,0,1,-4,-4,0,72,53,485,9.15,2,1,0,2,2,,64,117.1,120.1,90.6,,78,
79,John Ross\RossJo00,CIN,WR,24,13,10,0,0,0,0,0,4,9,2.25,0,58,21,210,10,7,0,0,7,,,64,84.9,87.9,74.4,,79,
80,Seth Roberts\RobeSe00,OAK,WR,27,15,7,0,0,0,0,0,3,5,1.67,0,64,45,494,10.98,2,0,0,2,,,62,106.9,109.9,84.4,,80,
81,Chris Conley\ConlCh00,KAN,WR,26,16,13,0,0,0,0,0,0,0,,0,52,32,334,10.44,5,2,2,5,,,59,91.4,96.4,75.4,,81,
82,Jarius Wright\WrigJa02,CAR,WR,29,16,6,0,0,0,0,0,2,39,19.5,0,59,43,447,10.4,1,3,1,1,1,,55,97.6,101.6,76.1,,82,
83,Jamison Crowder\CrowJa00,WAS,WR,25,9,7,0,0,0,0,0,4,30,7.5,0,49,29,388,13.38,2,0,0,2,,,54,82.8,85.8,68.3,,83,
84,Aldrick Robinson\RobiAl00,MIN,WR,30,14,0,0,0,0,0,0,0,0,,0,35,17,231,13.59,5,0,0,5,,,53,70.1,73.1,61.6,,84,
85,Demarcus Robinson\RobiDe01,KAN,WR,24,16,5,0,0,0,0,0,0,0,,0,33,22,288,13.09,4,0,0,4,,,53,74.8,77.8,63.8,,85,
86,Keelan Cole\ColeKe00,JAX,WR,25,16,11,0,0,0,0,0,0,0,,0,70,38,491,12.92,1,2,2,1,,,51,89.1,94.1,70.1,,87,
87,Jakeem Grant\GranJa00,MIA,WR,26,10,2,0,0,0,0,0,1,5,5,0,34,21,268,12.76,2,0,0,4,,,51,72.3,75.3,61.8,,86,
88,Taywan Taylor\TaylTa00,TEN,WR,23,13,5,0,0,0,0,0,0,0,,0,56,37,466,12.59,1,1,1,1,,,51,87.6,91.6,69.1,,88,
89,Phillip Dorsett\DorsPh00,NWE,WR,25,16,2,0,0,0,0,0,4,29,7.25,0,42,32,290,9.06,3,0,0,3,,,50,81.9,84.9,65.9,,89,
90,Quincy Enunwa\EnunQu00,NYJ,WR,26,11,10,0,0,0,0,0,1,0,0,0,68,38,449,11.82,1,2,1,1,,,49,86.9,90.9,67.9,,90,
91,Randall Cobb\CobbRa00,GNB,WR,28,9,6,0,0,0,0,0,0,0,,0,61,38,383,10.08,2,2,1,2,,,48,86.3,90.3,67.3,,92,
92,Dontrelle Inman\InmaDo00,IND,WR,29,9,4,0,0,0,0,0,0,0,,0,39,28,304,10.86,3,0,0,3,,,48,76.4,79.4,62.4,,91,
93,Jaron Brown\BrowJa03,SEA,WR,28,16,2,0,0,0,0,0,0,0,,0,19,14,166,11.86,5,0,0,5,,,47,60.6,63.6,53.6,,93,
94,Ty Montgomery\MontTy01,2TM,WR,25,13,0,0,0,0,0,0,41,188,4.59,1,40,25,235,9.4,0,2,1,1,,,46,71.3,78.3,58.8,,94,
95,Breshad Perriman\PerrBr02,CLE,WR,25,10,2,0,0,0,0,0,4,2,0.5,0,25,16,340,21.25,2,0,0,2,,,46,62.2,65.2,54.2,,95,
96,Tajae Sharpe\SharTa00,TEN,WR,24,16,13,0,0,0,0,0,1,16,16,0,47,26,316,12.15,2,0,0,2,,,45,71.2,74.2,58.2,,96,
97,Kelvin Benjamin\BenjKe00,2TM,WR,27,15,10,0,0,0,0,0,0,0,,0,67,25,380,15.2,1,0,0,1,,,44,69,72,56.5,,97,
98,Jermaine Kearse\KearJe01,NYJ,WR,28,14,9,0,0,0,0,0,0,0,,0,76,37,371,10.03,1,0,0,1,,,43,80.1,83.1,61.6,,98,
